TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
BRK.A,2011,2011,FY,37299000000,0,37299000000,19012000000,0,0,0,100391000000,53213000000,0,53213000000,108251000000,0,0,0,392647000000,392647000000,0,1490000000,0,0,0,0,58894000000,0,37804000000,0,0,223686000000,0,223686000000,0,8000000,109448000000,17654000000,37740000000,164850000000,164850000000,388536000000,0,388536000000,139106000000,60384000000,23085000000
BRK.A,2010,2010,FY,38227000000,33803000000,72030000000,20917000000,0,0,0,93126000000,49006000000,6904000000,55910000000,94702000000,0,0,0,372229000000,372229000000,0,1682000000,0,0,0,0,56892000000,0,36352000000,0,0,209295000000,0,209295000000,0,8000000,99194000000,20583000000,37533000000,157318000000,157318000000,366613000000,0,366613000000,128505000000,58574000000,20347000000
BRK.A,2009,2009,FY,30558000000,0,30558000000,14792000000,0,0,0,46656000000,33972000000,0,33972000000,93693000000,0,0,0,297119000000,297119000000,0,0,0,0,0,0,37909000000,0,19225000000,0,0,161334000000,0,161334000000,0,8000000,86227000000,17793000000,27074000000,131102000000,131102000000,292436000000,0,292436000000,140282000000,37909000000,7351000000
BRK.A,2008,2008,FY,25539000000,0,25539000000,14925000000,0,0,0,45157000000,33781000000,33781000000,67562000000,80705000000,0,0,0,267399000000,267399000000,0,0,0,0,0,0,36882000000,0,10280000000,0,0,153820000000,0,153820000000,0,8000000,78172000000,3954000000,27133000000,109267000000,109267000000,263087000000,0,263087000000,116182000000,36882000000,11343000000
BRK.A,2007,2007,FY,44329000000,0,44329000000,13157000000,0,0,0,36190000000,32862000000,32862000000,65724000000,106570000000,0,0,0,273160000000,273160000000,0,1192000000,0,0,0,0,32634000000,0,18825000000,0,0,149759000000,0,149759000000,0,8000000,72153000000,21620000000,26952000000,120733000000,120733000000,270492000000,0,270492000000,118929000000,33826000000,-10503000000
BRK.A,2006,2006,FY,43743000000,0,43743000000,12881000000,0,0,0,33342000000,32238000000,32238000000,64476000000,89845000000,0,0,0,248437000000,248437000000,0,1355000000,0,0,0,0,31250000000,0,18460000000,0,0,137756000000,0,137756000000,0,8000000,58912000000,22977000000,26522000000,108419000000,108419000000,246175000000,0,246175000000,102248000000,32605000000,-11138000000
BRK.A,2005,2005,FY,44660000000,30855000000,75515000000,12397000000,0,0,0,7500000000,23644000000,0,23644000000,81701000000,0,0,0,198325000000,198325000000,0,1381000000,0,0,0,0,13070000000,0,12252000000,0,0,106025000000,0,106025000000,0,8000000,47717000000,17360000000,26399000000,91484000000,91484000000,197509000000,0,197509000000,112556000000,14451000000,-30209000000
BRK.A,2004,2004,FY,43427000000,0,43427000000,11291000000,0,0,0,6516000000,23012000000,0,23012000000,72989000000,0,0,0,188874000000,188874000000,0,1139000000,0,0,0,0,7698000000,0,12247000000,0,0,102216000000,0,102216000000,0,8000000,39189000000,20435000000,26268000000,85900000000,85900000000,188116000000,0,188116000000,88744000000,8837000000,-34590000000
BRK.A,2003,2003,FY,35957000000,0,35957000000,12314000000,0,0,0,6260000000,22948000000,0,22948000000,79624000000,0,0,0,180559000000,180559000000,0,1704000000,0,0,0,0,7415000000,0,11479000000,0,0,102218000000,0,102218000000,0,8000000,31881000000,19556000000,26151000000,77596000000,77596000000,179814000000,0,179814000000,87499000000,9119000000,-26838000000
BRK.A,2002,2002,FY,12748000000,54949000000,67697000000,13175000000,0,0,0,5407000000,22298000000,0,22298000000,93545000000,0,0,0,169544000000,169544000000,5053000000,2409000000,8051000000,0,0,0,6879000000,0,0,0,0,104116000000,0,104116000000,0,8000000,23730000000,14271000000,26028000000,64037000000,64037000000,168153000000,0,168153000000,148494000000,9288000000,-3460000000
BRK.A,2001,2001,FY,6498000000,57570000000,64068000000,11926000000,0,60575000000,136569000000,4776000000,21407000000,0,21407000000,1826000000,0,-1826000000,26183000000,0,162752000000,7568000000,1777000000,0,0,0,9345000000,10727000000,0,0,0,10727000000,84730000000,0,104802000000,0,8000000,19444000000,0,38498000000,57950000000,57950000000,162752000000,0,162752000000,59396000000,12504000000,6006000000
BRK.A,2000,2000,FY,5263000000,0,5263000000,11764000000,0,97191000000,114218000000,2699000000,18875000000,0,18875000000,0,0,0,21574000000,0,135792000000,0,0,0,0,0,0,2663000000,0,10125000000,0,12788000000,60011000000,0,72799000000,0,8000000,18649000000,0,44336000000,62993000000,62993000000,135792000000,0,135792000000,0,2663000000,-2600000000
