TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
MA,2022,2022,FY,22237000000,5263000000,16974000000,0.7633223906,0,8078000000,789000000,8867000000,750000000,9617000000,9617000000,0,471000000,1129000000,13393000000,0.6022844808,12264000000,0.5515132437,-532000000,11732000000,0.5275891532,1802000000,9930000000,0.4465530422,10.26,10.22,968000000,971000000
MA,2021,2021,FY,18884000000,4489000000,14395000000,0.7622855327,0,7087000000,895000000,7982000000,726000000,8708000000,8708000000,0,431000000,820000000,10902000000,0.5773141284,10082000000,0.5338911248,225000000,10307000000,0.5458059733,1620000000,8687000000,0.4600190638,8.79,8.76,988000000,992000000
MA,2020,2020,FY,15301000000,3787000000,11514000000,0.7524998366,0,5910000000,657000000,6567000000,580000000,7147000000,7147000000,0,380000000,658000000,8739000000,0.5711391412,8081000000,0.528135416,-321000000,7760000000,0.507156395,1349000000,6411000000,0.4189922227,6.4,6.37,1002000000,1006000000
MA,2019,2019,FY,16883000000,3537000000,13346000000,0.7904993188,0,5763000000,934000000,6697000000,522000000,7219000000,7219000000,0,224000000,549000000,10213000000,0.6049280341,9664000000,0.5724101167,67000000,9731000000,0.5763786057,1613000000,8118000000,0.4808387135,7.98,7.94,1017000000,1022000000
MA,2018,2018,FY,14950000000,3214000000,11736000000,0.7850167224080268,0,5210000000,907000000,6117000000,459000000,6576000000,9790000000,0,186000000,459000000,7849000000,0.5250167224080268,7282000000,0.4870903010033445,-78000000,7204000000,0.48187290969899665,1345000000,5859000000,0.3919063545150502,5.63,5.6,1041000015,1047000015
MA,2017,2017,FY,12497000000,2687000000,9810000000,0.7849883972153316,0,4420000000,898000000,5318000000,436000000,5754000000,8441000000,0,154000000,437000000,7113000000,0.5691766023845723,6622000000,0.5298871729215011,-100000000,6522000000,0.5218852524605906,2607000000,3915000000,0.3132751860446507,3.67,3.65,1067000016,1072000016
MA,2016,2016,FY,10776000000,2225000000,8551000000,0.7935226429101707,0,3680000000,811000000,4491000000,373000000,4864000000,7089000000,0,95000000,373000000,6114000000,0.5673719376391982,5761000000,0.5346139569413512,-115000000,5646000000,0.5239420935412027,1587000000,4059000000,0.3766703786191537,3.7,3.69,1098000016,1101000016
MA,2015,2015,FY,9667000000,2105000000,7562000000,0.7822488879693804,0,3423000000,821000000,4244000000,366000000,4610000000,6715000000,0,61000000,366000000,5385000000,0.5570497569049343,5078000000,0.5252922313023689,-120000000,4958000000,0.5128788662459915,1150000000,3808000000,0.3939174511223751,3.36,3.35,1134000017,1137000017
MA,2014,2014,FY,9473000000,2064000000,7409000000,0.7821175973820331,0,3214000000,862000000,4076000000,321000000,4397000000,6461000000,26000000,48000000,321000000,5448000000,0.575108202259052,5106000000,0.5390055948485168,-27000000,5079000000,0.5361553890003167,1462000000,3617000000,0.38182202047925684,3.11,3.1,1165000017,1169000017
MA,2013,2013,FY,8346000000,1739000000,6607000000,0.7916367121974599,0,2647000000,841000000,3488000000,258000000,3746000000,5485000000,33000000,14000000,258000000,4772000000,0.5717709082195064,4503000000,0.5395398993529834,-3000000,4500000000,0.5391804457225018,1384000000,3116000000,0.3733525041936257,2.57,2.56,1211000018,1215000018
MA,2012,2012,FY,7391000000,1565000000,5826000000,0.7882559870112299,0,2402000000,775000000,3177000000,230000000,3407000000,4972000000,36000000,20000000,230000000,4183000000,0.5659585982952239,3937000000,0.5326748748477879,-5000000,3932000000,0.5319983764037343,1174000000,2759000000,0.3732918414287647,2.2,2.19,1253000018,1258000018
MA,2011,2011,FY,6714000000,0,6714000000,1.0,0,2196000000,841000000,3037000000,964000000,4001000000,4001000000,52000000,25000000,194000000,2967000000,0.4419124218051832,2713000000,0.40408102472445634,33000000,2746000000,0.40899612749478703,842000000,1906000000,0.2838844206136431,1.49,1.48,1279000019,1284000019
MA,2010,2010,FY,5539000000,0,5539000000,1.0,0,1852000000,782000000,2634000000,148000000,2782000000,2782000000,48000000,52000000,148000000,2956000000,0.5336703376060661,2752000000,0.49684058494313055,5000000,2757000000,0.4977432749593789,910000000,1846000000,0.33327315399891677,1.41,1.41,1310000019,1310000019
MA,2009,2009,FY,5098684000,0,5098684000,1.0,0,1934974000,755480000,2690454000,141377000,2831831000,2831831000,55911000,115109000,141377000,2474445000,0.4853105232644345,2260108000,0.4432728131415871,-42057000,2218051000,0.4350242140913224,755427000,1462532000,0.2868449976503741,1.12,1.12,1300000019,1300000019
MA,2008,2008,FY,4991600000,0,4991600000,1.0,0,1913679000,1017575000,2931254000,112006000,3043260000,3043260000,108757000,103600000,112006000,-167607000,-0.033577810722012984,-534505000,-0.1070808959051206,151292000,-383213000,-0.0767715762480968,-129298000,-253915000,-0.05086845901113871,-0.19,-0.19,1301480019,1301480019
MA,2007,2007,FY,4067599000,0,0,0.0,0,1758388000,1080057000,2838445000,121042000,2959487000,2959487000,0,0,97642000,1769074000,0.43491848631096625,1108112000,0.27242410080246354,563320000,1671432000,0.4109136618432643,585546000,1085886000,0.2669599436915979,0.81,0.8,1348870020,1356950020
MA,2006,2006,FY,3326074000,0,0,0.0,0,1505185000,1051870000,2557055000,539524000,3096579000,3096579000,0,0,99782000,393954000,0.11844414766478437,229495000,0.06899876551153102,64677000,294172000,0.08844421380883287,243982000,50190000,0.015089862702994582,0.037,0.037,1354110020,1357790020
MA,2005,2005,FY,2937628000,0,0,0.0,0,1351082000,1008268000,2359350000,185094000,2544444000,2544444000,0,0,109936000,517274000,0.17608560375922344,393184000,0.13384404015756932,14154000,407338000,0.1386622131869658,140619000,266719000,0.09079400114650324,0.2,0.2,1349690020,1349690020
MA,2004,2004,FY,2593330000,0,0,0.0,0,1185837000,915851000,2101688000,144970000,2246658000,2246658000,0,0,123317000,447017000,0.17237181538793753,346672000,0.13367832092329168,-22972000,323700000,0.12482021185117205,85640000,238060000,0.0917970331581403,0.24,0.24,1000252116,1000252116
