TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
BRK.A,2022,2022,FY,234190000000,124319000000,109871000000,0.4691532516,0,5550000000,19506000000,25056000000,122804000000,142310000000,264766000000,10263000000,4352000000,10899000000,-16086000000,-0.0686878176,-26985000000,-0.1152269525,-3591000000,-30576000000,-0.1305606559,-8518000000,-22058000000,-0.0941884794,-14606.21,-14606.21,1510180,1510180
BRK.A,2021,2021,FY,354636000000,0,354636000000,1.0,0,4201000000,18843000000,23044000000,0,0,242950000000,7465000000,4172000000,10718000000,125564000000,0.3540644492,114846000000,0.3238419111,-3160000000,111686000000,0.3149313662,20879000000,89795000000,0.2532032845,59460.0,59460.0,1510180,1510180
BRK.A,2020,2020,FY,286256000000,0,286256000000,1.0,0,3520000000,19809000000,23329000000,0,0,230563000000,8092000000,4083000000,10596000000,69640000000,0.2432787435,59044000000,0.2062629255,-3351000000,55693000000,0.1945566206,12440000000,42521000000,0.1485418646,26668.0,26668.0,1594469,1594469
BRK.A,2019,2019,FY,327223000000,0,327223000000,1.0,0,4003000000,19322000000,23325000000,0,0,224527000000,9240000000,3961000000,10064000000,116346000000,0.3555556914,106282000000,0.3247999071,-3586000000,102696000000,0.3138410197,20904000000,81417000000,0.2488119723,49828.0,49828.0,1633946,1633946
BRK.A,2018,2018,FY,225382000000,0,0,0.0,0,4061000000,18238000000,22299000000,0,0,221381000000,7678000000,3853000000,9779000000,17332000000,0.07690055106441508,0,0.0,178326000000,4001000000,0.017752083129974887,-321000000,4021000000,0.01784082136106699,2446.0,2446.0,1643795,1643795
BRK.A,2017,2017,FY,242137000000,0,0,0.0,0,0,18181000000,18181000000,0,0,218299000000,6582000000,5394000000,9188000000,38007000000,0.156964858736996,0,0.0,172830000000,23838000000,0.0984483990468206,-21515000000,44940000000,0.18559740973085484,27326.0,27326.0,1644615,1644615
BRK.A,2016,2016,FY,223604000000,0,0,0.0,0,0,18217000000,18217000000,0,0,189937000000,6180000000,3497000000,8901000000,45712000000,0.2044328366218851,0,0.0,163239000000,33667000000,0.15056528505751238,9240000000,24074000000,0.10766354805817427,14645.0,14645.0,1643826,1643826
BRK.A,2015,2015,FY,210821000000,0,0,0.0,0,0,15309000000,15309000000,0,0,175875000000,6745000000,3515000000,7779000000,45909000000,0.21776293632987226,0,0.0,152435000000,34946000000,0.16576147537484406,10532000000,24083000000,0.11423435046793251,14656.0,14656.0,1643183,1643183
BRK.A,2014,2014,FY,194673000000,0,0,0.0,0,0,13721000000,13721000000,0,0,166568000000,6458000000,3253000000,7370000000,38430000000,0.19740796104236336,0,0.0,142881000000,28105000000,0.14437030302096335,7935000000,19872000000,0.10207887072167172,12092.0,12092.0,1643456,1643456
BRK.A,2013,2013,FY,182150000000,0,0,0.0,0,0,11917000000,11917000000,0,0,153354000000,6408000000,2801000000,6508000000,37736000000,0.20716991490529782,0,0.0,132385000000,28796000000,0.1580894866867966,8951000000,19476000000,0.1069228657699698,11850.0,11850.0,1643613,1643613
BRK.A,2012,2012,FY,162463000000,0,0,0.0,0,0,10503000000,10503000000,0,0,140227000000,6106000000,2744000000,5146000000,29638000000,0.18242923004007067,0,0.0,118387000000,22236000000,0.13686808688747593,6924000000,14824000000,0.09124539125831728,8977.0,8977.0,1651294,1651294
BRK.A,2011,2011,FY,143688000000,0,0,0.0,0,0,8670000000,8670000000,0,0,128374000000,6410000000,2664000000,4683000000,22169000000,0.15428567451700909,0,0.0,106033000000,15314000000,0.1065781415288681,4568000000,10254000000,0.07136295306497412,6215.0,6215.0,1649891,1649891
